,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
k,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0
score,1.0,0.9926661777451831,0.9811987465831056,0.9792652843522901,0.9719981332088806,0.9689979331955464,0.9658643909593972,0.9647976531768785,0.962064137609174,0.9629975331688779,0.9611974131608774,0.9609973998266551,0.95879725315021,0.9585305687045803,0.9572638175878392,0.9580638709247283,0.9555970398026535,0.9553303553570238,0.9537302486832455,0.9543969597973199
